Match Number,Round Number,Date,Location,Home Team,Away Team,Result
126,14,09/12/2023 14:30,SIGNAL IDUNA PARK,Borussia Dortmund,RasenBallsport Leipzig,
127,15,16/12/2023 14:30,Merck-Stadion am Böllenfalltor,Darmstadt,Wolfsburg,
128,15,16/12/2023 14:30,WWK ARENA,Augsburg,Borussia Dortmund,
129,15,16/12/2023 14:30,Vonovia Ruhrstadion,Bochum,Union Berlin,
130,15,16/12/2023 14:30,,Borussia M.Gladbach,Werder Bremen,
131,15,16/12/2023 14:30,MEWA ARENA,Mainz 05,FC Heidenheim,
132,15,16/12/2023 14:30,BayArena,Bayer Leverkusen,Eintracht Frankfurt,
133,15,16/12/2023 14:30,Europa-Park Stadion,Freiburg,FC Cologne,
134,15,16/12/2023 14:30,Red Bull Arena,RasenBallsport Leipzig,Hoffenheim,
135,15,16/12/2023 14:30,Allianz Arena,Bayern Munich,VfB Stuttgart,
136,16,19/12/2023 19:30,Voith-Arena,FC Heidenheim,Freiburg,
137,16,19/12/2023 19:30,Mercedes-Benz Arena,VfB Stuttgart,Augsburg,
138,16,19/12/2023 19:30,wohninvest WESERSTADION,Werder Bremen,RasenBallsport Leipzig,
139,16,19/12/2023 19:30,PreZero Arena,Hoffenheim,Darmstadt,
140,16,19/12/2023 19:30,Volkswagen Arena,Wolfsburg,Bayern Munich,
141,16,19/12/2023 19:30,Deutsche Bank Park,Eintracht Frankfurt,Borussia M.Gladbach,
142,16,19/12/2023 19:30,BayArena,Bayer Leverkusen,Bochum,
143,16,19/12/2023 19:30,An der Alten Försterei,Union Berlin,FC Cologne,
144,16,19/12/2023 19:30,SIGNAL IDUNA PARK,Borussia Dortmund,Mainz 05,
145,17,13/01/2024 14:30,Merck-Stadion am Böllenfalltor,Darmstadt,Borussia Dortmund,
146,17,13/01/2024 14:30,WWK ARENA,Augsburg,Bayer Leverkusen,
147,17,13/01/2024 14:30,Vonovia Ruhrstadion,Bochum,Werder Bremen,
148,17,13/01/2024 14:30,RheinEnergieSTADION,FC Cologne,FC Heidenheim,
149,17,13/01/2024 14:30,BORUSSIA-PARK,Borussia M.Gladbach,VfB Stuttgart,
150,17,13/01/2024 14:30,,Mainz 05,Wolfsburg,
151,17,13/01/2024 14:30,Europa-Park Stadion,Freiburg,Union Berlin,
152,17,13/01/2024 14:30,Red Bull Arena,RasenBallsport Leipzig,Eintracht Frankfurt,
153,17,13/01/2024 14:30,Allianz Arena,Bayern Munich,Hoffenheim,
154,18,20/01/2024 14:30,Merck-Stadion am Böllenfalltor,Darmstadt,Eintracht Frankfurt,
155,18,20/01/2024 14:30,Voith-Arena,FC Heidenheim,Wolfsburg,
156,18,20/01/2024 14:30,Vonovia Ruhrstadion,Bochum,VfB Stuttgart,
157,18,20/01/2024 14:30,RheinEnergieSTADION,FC Cologne,Borussia Dortmund,
158,18,20/01/2024 14:30,BORUSSIA-PARK,Borussia M.Gladbach,Augsburg,
159,18,20/01/2024 14:30,MEWA ARENA,Mainz 05,Union Berlin,
160,18,20/01/2024 14:30,Europa-Park Stadion,Freiburg,Hoffenheim,
161,18,20/01/2024 14:30,Red Bull Arena,RasenBallsport Leipzig,Bayer Leverkusen,
162,18,20/01/2024 14:30,Allianz Arena,Bayern Munich,Werder Bremen,
